pid,label,album_id,descripcion,numero_stickers,formato,tipos_sticker,densidad,paleta_dominante,saturacion,conexion_dominante,homogeneidad,contiene_monas,contiene_IP,contiene_producto,contiene_marca
A2P1,Popurrí de entrada,A2,Hoja de bienvenida a segundo álbum,40,Simple,"Brillante, Holográfico, Relieve, Pop-up, Vinilo flocado",3,Salmon,1,N.A.,1,No,Sí,Sí,Sí
A2P4,Círculos varios,A2,Stickers de formas circulares,49,Simple,"Brillante, Relieve, Rasca y huele",4,Negro,2,Circular,3,No,Sí,Sí,Sí
A2P6,Gatos con gatitos,A2,Stickers de gatos. Mi prima pegó un montón de gatos chiquitos cuando era pequeña.,31,Simple,"Brillante, Holográfico, Relieve, Mate",2,Negro,1,Felina,3,No,Sí,No,No
A1P3,La obra,A1,Stickers de construcción. Los pegó una amiga cuando le presté el álbum sin seguir mi indicación de distribuirlos sin arguparlos por tema.,38,Doble,"Brillante, Rasca y huele",2,"Marrón, Amarillo, Gris",1,Construcción y maquinaria,3,No,Sí,No,No
A1P4,Vencimiento seguro,A1,"Stickers varios, con presencia de superhéroes, escudos y comida",67,Doble,"Brillante, Holográfico, Relieve, Rasca y huele",4,"Gris, Negro, Marrón",2,N.A.,1,Sí,Sí,Sí,Sí
A1P5,Big Sur,A1,Un gran sticker de Big Sur con stickers varios. Se destacan un par de tatuajes temporales.,48,Doble,"Brillante, Holográfico, Rasca y huele, Transparente, Mate, Tatuaje temporal",4,"Negro, Verde, Rojo",2,N.A.,1,Sí,Sí,No,Sí
A1P7,Faro,A1,"Pagina doble de stickers grandes. Sobresalen un faro, un IPhone y un logo de Arizona Tea.",29,Doble,"Brillante, Holográfico, Metalizado, Tatuaje temporal",3,"Azul, Rojo, Beige",3,N.A.,1,Sí,Sí,Sí,Sí
A1P8,Tiburones,A1,Monas y tiburones. Es apartente cierta dualidad cromática.,40,Doble,"Brillante, Holográfico, Relieve, Transparente",4,"Azul, Rojo",3,Azul y rojo,2,Sí,Sí,Sí,Sí
A3P1,Círculos RPM,A3,Página de círculos con uno especialmente grande de RPM,15,Simple,"Brillante, Holográfico, Metalizado, Tatuaje temporal",2,"Negro, Azul",1,Circular,3,Sí,No,Sí,Sí
A3P6,Pulpo y mar,A3,Página con varias monas y algunos stickers con temática marina,9,Simple,"Brillante, transparente",2,"Negro, Azul, Naranja",1,Marina,3,Sí,No,Sí,No
